,spotify_id,youtube_id,project_name,artist,project_type,tracks,project_art,year,rating
31,3gkW0gOyovtdcscDX6WZ6O,OOlTZk_I14E,swim,caribou,track,9.0,https://i.scdn.co/image/ab67616d000048513c17ef9472c134e367523eab,2010.0,6.0
32,4dFE0GGL1lOGd76kx6yl4J,S4HW7jmRXeE,before today,ariel pink's haunted graffiti,album,12.0,https://i.scdn.co/image/ab67616d00004851e6d607273a39fc70ca100606,2010.0,8.0
33,5S449otoXWOfjKoPdnBsIF,xBKlf53peNY,sisterworld,liars,album,11.0,https://i.scdn.co/image/ab67616d00004851deebf5e8cf3f8145af011f4c,2010.0,6.0
34,3mX8oKajxXEBNNATCKLLPd,DuMUDldrG3g,high violet,the national,album,11.0,https://i.scdn.co/image/ab67616d00004851287369f0a8e0d5e2c81e5afa,2010.0,6.0
35,6K9wsOEqnnoPtYbd8s95ug,wwikVZU7CfA,maniac meat,tobacco,album,16.0,https://i.scdn.co/image/ab67616d00004851c380bcceddb6ff9b334590f9,2010.0,7.0
36,162AQYS4VkC7Hx3l2EBASj,K7nxzVgxlhY,drunk girls,lcd soundsystem,album,1.0,https://i.scdn.co/image/ab67616d0000485133f72928e189bb1e107079a3,2011.0,7.0
37,5lCQtNmeRx4cI4UDwdv6Rn,MzYQR6ePkiw,sometimes the blues is just a passing bird,the tallest man on earth,ep,5.0,https://i.scdn.co/image/ab67616d00004851ef97d85a16504559ebaa75ae,2010.0,8.0
38,7L8jW9rY040uDZnnIYtSdG,pkcnbD9DT6o,clinging to a scheme,the radio dept.,album,10.0,https://i.scdn.co/image/ab67616d000048519de39f2dda6a81c1b494597c,2010.0,8.0
39,4Jebo0PjnxQnFXVujlwr7M,kxHrdmYZrxE,le noise,neil young,album,3.0,https://i.scdn.co/image/ab67616d000048512f2ab63947d180d61c464730,2021.0,5.0
40,1SpWwIEwnXRhc8co4h17hf,cndwH6byJnk,throat,little women,album,7.0,https://i.scdn.co/image/ab67616d00004851aacf33fab381dc9439a7ee6f,2010.0,9.0
41,0Cvy6cPEDudnP95KHNGh7l,0je8it7hG3g,maya (/\/\ /\ y /\),mia,album,1.0,https://i.scdn.co/image/ab67616d00004851abcf88699434319a23c4831c,2021.0,5.0
42,6bIxluBOaQoe9AozdWI2rU,wumo4Urajx4,black masses,electric wizard,album,8.0,https://i.scdn.co/image/ab67616d0000485186efb206fe5e60b3c8179634,2010.0,6.0
43,5bZmKHyVdaybEuqg5sJjNZ,HtZpjuo2BBo,hurley,weezer,album,14.0,https://i.scdn.co/image/ab67616d00004851f436912c85554070dde31ea3,2010.0,7.0
44,3GXyPZJCzsnP4apzEiVyXu,c5j8_b8aFnw,american ghetto,portugal. the man,album,11.0,https://i.scdn.co/image/ab67616d00004851e0f989834c2815497b33f542,2010.0,3.0
45,08eM9GRdr5BCCHNqS3Wwud,KOLkwwzrn7w,man on the moon ii: the legend of mr. rager,kid cudi,album,17.0,https://i.scdn.co/image/ab67616d0000485159e842b6a3566a141f27f815,2010.0,6.0
46,69dtvmEbd0xejAVrqOuzDO,ASYMfU7wpiI,marrow of the spirit,agalloch,album,6.0,https://i.scdn.co/image/ab67616d0000485109e2f5817b7c7db07afa640b,2010.0,8.0
47,1GjjBpY2iDwSQs5bykQI5e,qrYfTxRj_c8,diamond eyes,deftones,album,11.0,https://i.scdn.co/image/ab67616d0000485172c2145d48f68917a7361b15,2008.0,4.0
48,7iZU6KMPD0iT7QqtMkTmL1,NTqEw597UZI,business casual,chromeo,album,10.0,https://i.scdn.co/image/ab67616d0000485194d575ac1724df66089721dc,2010.0,9.0
